species,pu,amount
503,IT-394,13990103
503,IU-394,10564358
503,IV-394,25000000
503,IV-395,5603295
503,IW-394,24922467
503,IW-395,1489808
503,IX-394,25000000
503,IX-395,22571831
503,IY-394,25000000
503,IY-395,18087812
503,IZ-394,25000000
503,IZ-395,25000000
503,IZ-396,11633920
503,JA-394,25000000
503,JA-395,25000000
503,JA-396,4529226
503,JB-394,25000000
503,JB-395,25000000
503,JB-396,24037259
503,JB-397,82931
503,JC-394,25000000
503,JC-395,25000000
503,JC-396,18178017
503,JD-394,25000000
503,JD-395,25000000
503,JD-396,25000000
503,JD-397,10219413
503,JE-394,25000000
503,JE-395,25000000
503,JE-396,25000000
503,JE-397,357208
503,JF-394,25000000
503,JF-395,25000000
503,JF-396,25000000
503,JF-397,14914281
503,JG-394,25000000
503,JG-395,25000000
503,JG-396,25000000
503,JG-397,2481265
503,JH-394,25000000
503,JH-395,25000000
503,JH-396,25000000
503,JH-397,18118920
503,JI-394,25000000
503,JI-395,25000000
503,JI-396,25000000
503,JI-397,5012879
503,JJ-394,25000000
503,JJ-395,25000000
503,JJ-396,25000000
503,JJ-397,20916002
503,JK-394,25000000
503,JK-395,25000000
503,JK-396,25000000
503,JK-397,7952049
503,JL-394,25000000
503,JL-395,25000000
503,JL-396,25000000
503,JL-397,23305528
503,JM-394,25000000
503,JM-395,25000000
503,JM-396,25000000
503,JM-397,11298775
503,JM-406,1694617
503,JN-394,25000000
503,JN-395,25000000
503,JN-396,25000000
503,JN-397,24999934
503,JN-398,309556
503,JO-394,25000000
503,JO-395,25000000
503,JO-396,25000000
503,JO-397,14829240
503,JP-394,25000000
503,JP-395,25000000
503,JP-396,25000000
503,JP-397,25000000
503,JP-398,2423398
503,JQ-394,25000000
503,JQ-395,25000000
503,JQ-396,25000000
503,JQ-397,14108862
503,JR-394,25000000
503,JR-395,25000000
503,JR-396,25000000
503,JR-397,19035048
503,JS-394,25000000
503,JS-395,24999999
503,JS-396,23058696
503,JS-397,19017
503,JT-394,24999999
503,JT-395,25000000
503,JT-396,24958645
503,JT-397,1763193
503,JU-394,25000000
503,JU-395,25000000
503,JU-396,5716456
503,JV-394,25000000
503,JV-395,25000000
503,JV-396,10365432
503,JW-394,25000000
503,JW-395,15029300
503,JX-394,25000000
503,JX-395,19659875
503,JY-394,23494128
503,JY-395,92459
503,JZ-394,24998617
503,JZ-395,2232094
503,KA-394,6346878
503,KB-394,1874149
408,LX-399,1255393
408,LY-397,6590845
408,LY-398,20182603
408,LY-399,17631641
408,LY-400,9666354
408,LY-401,10969338
408,LZ-394,16053203
408,LZ-395,18575253
408,LZ-396,17506692
408,LZ-397,20390911
408,LZ-398,21444153
408,LZ-399,4392515
408,LZ-400,10707183
408,LZ-401,11574610
408,LZ-402,13257897
408,MA-394,19305214
408,MA-395,19383143
408,MA-396,17548009
408,MA-397,5019467
408,MB-395,3435
408,MB-396,1028493
503,IW-418,8285271
503,IW-419,22373045
503,IX-417,4595430
503,IX-418,20917457
503,IX-419,25000000
503,IY-415,1414839
503,IY-416,17127804
503,IY-417,25000000
503,IY-418,25000000
503,IY-419,25000000
503,IZ-415,12656070
503,IZ-416,25000000
503,IZ-417,25000000
503,IZ-418,25000000
503,IZ-419,25000000
503,JA-413,8152355
503,JA-414,23773212
503,JA-415,25000000
503,JA-416,25000000
503,JA-417,25000000
503,JA-418,25000000
503,JA-419,25000000
503,JB-412,4314729
503,JB-413,20640594
503,JB-414,25000000
503,JB-415,25000000
503,JB-416,25000000
503,JB-417,25000000
503,JB-418,25000000
503,JB-419,25000000
503,JC-410,1191265
503,JC-411,16793813
503,JC-412,25000000
503,JC-413,25000000
503,JC-414,25000000
503,JC-415,25000000
503,JC-416,25000000
503,JC-417,25000000
503,JC-418,25000000
503,JC-419,25000000
503,JD-410,12284361
503,JD-411,25000000
503,JD-412,25000000
503,JD-413,25000000
503,JD-414,25000000
503,JD-415,25000000
503,JD-416,25000000
503,JD-417,25000000
503,JD-418,25000000
503,JD-419,25000000
503,JE-409,21404824
503,JE-410,25000000
503,JE-411,25000000
503,JE-412,25000000
503,JE-413,25000000
503,JE-414,25000000
503,JE-415,25000000
503,JE-416,25000000
503,JE-417,25000000
503,JE-418,25000000
503,JE-419,25000000
503,JF-409,17492275
503,JF-410,25000000
503,JF-411,25000000
503,JF-412,25000000
503,JF-413,25000000
503,JF-414,25000000
503,JF-415,25000000
503,JF-416,25000000
503,JF-417,25000000
503,JF-418,25000000
503,JF-419,25000000
503,JG-408,12737477
503,JG-409,25000000
503,JG-410,25000000
503,JG-411,25000000
503,JG-412,25000000
503,JG-413,25000000
503,JG-414,25000000
503,JG-415,25000000
503,JG-416,25000000
503,JG-417,25000000
503,JG-418,25000000
503,JG-419,25000000
503,JH-408,7982678
503,JH-409,25000000
503,JH-410,25000000
503,JH-411,25000000
503,JH-412,25000000
503,JH-413,25000000
503,JH-414,25000000
503,JH-415,25000000
503,JH-416,25000000
503,JH-417,25000000
503,JH-418,25000000
503,JH-419,25000000
503,JI-407,3484564
503,JI-408,25000000
503,JI-409,25000000
503,JI-410,25000000
503,JI-411,25000000
503,JI-412,25000000
503,JI-413,25000000
503,JI-414,25000000
503,JI-415,25000000
503,JI-416,25000000
503,JI-417,25000000
503,JI-418,25000000
503,JI-419,25000000
503,JJ-407,455140
503,JJ-408,24281714
503,JJ-409,25000000
503,JJ-410,25000000
503,JJ-411,25000000
503,JJ-412,25000000
503,JJ-413,25000000
503,JJ-414,25000000
503,JJ-415,25000000
503,JJ-416,25000000
503,JJ-417,25000000
503,JJ-418,25000000
503,JJ-419,25000000
503,JK-407,20933036
503,JK-408,25000000
503,JK-409,25000000
503,JK-410,25000000
503,JK-411,25000000
503,JK-412,25000000
503,JK-413,25000000
503,JK-414,25000000
503,JK-415,25000000
503,JK-416,25000000
503,JK-417,25000000
503,JK-418,25000000
503,JK-419,25000000
503,JL-407,15236569
503,JL-408,25000000
503,JL-409,25000000
503,JL-410,25000000
503,JL-411,25000000
503,JL-412,25000000
503,JL-413,25000000
503,JL-414,25000000
503,JL-415,25000000
503,JL-416,25000000
503,JL-417,25000000
503,JL-418,25000000
503,JL-419,25000000
503,JM-407,25000000
503,JM-408,25000000
503,JM-409,25000000
503,JM-410,25000000
503,JM-411,25000000
503,JM-412,25000000
503,JM-413,25000000
503,JM-414,25000000
503,JM-415,25000000
503,JM-416,25000000
503,JM-417,25000000
503,JM-418,25000000
503,JM-419,25000000
503,JN-407,13267191
503,JN-408,25000000
503,JN-409,25000000
503,JN-410,25000000
503,JN-411,25000000
503,JN-412,25000000
503,JN-413,25000000
503,JN-414,25000000
503,JN-415,25000000
503,JN-416,25000000
503,JN-417,25000000
503,JN-418,25000000
503,JN-419,25000000
503,JO-407,24219068
503,JO-408,25000000
503,JO-409,25000000
503,JO-410,25000000
503,JO-411,25000000
503,JO-412,25000000
503,JO-413,25000000
503,JO-414,25000000
503,JO-415,25000000
503,JO-416,25000000
503,JO-417,25000000
503,JO-418,25000000
503,JO-419,25000000
503,JP-407,8984617
503,JP-408,25000000
503,JP-409,25000000
503,JP-410,25000000
503,JP-411,25000000
503,JP-412,25000000
503,JP-413,25000000
503,JP-414,25000000
503,JP-415,25000000
