species,pu,amount
500,PI-578,16583873
500,PJ-578,346111
500,PI-561,81032
500,PJ-561,33604
500,PI-560,7613434
500,PG-560,29463
500,PH-560,5677528
500,PJ-560,5392025
500,PI-559,695293
500,PK-558,2343832
500,PJ-558,113905
500,PJ-559,5645665
500,PH-559,2618595
500,PC-558,6183523
500,PI-558,1653899
500,PB-558,52877
500,PH-558,489160
500,PG-557,22181
500,PC-557,8681608
500,PE-557,15414922
500,PI-557,2591262
500,PD-557,18267863
500,PF-557,9358771
500,PK-557,5309493
500,PK-556,7718446
500,PB-557,33612
500,PH-557,1124302
500,PC-556,2786153
500,PI-556,3253765
500,PE-556,25000000
500,PD-556,21610760
500,PH-556,1093775
500,PK-555,8647491
500,PJ-556,218
500,PF-556,6066770
500,PE-555,7199184
500,PI-555,4223557
500,PK-554,9403275
500,PJ-554,3071642
500,PJ-555,741322
500,PI-554,6271540
500,PK-553,12623710
500,PL-553,3997382
500,PI-553,3254527
500,PJ-553,1038401
500,PI-552,900571
500,PA-552,784951
500,PM-552,126394
500,PK-552,14390243
500,OZ-552,3502
500,PB-552,14856320
500,PE-551,7865502
500,PA-551,2288706
500,PC-551,5630125
500,PI-551,2709667
500,PB-551,13627354
500,PJ-551,2283111
500,PF-551,17195976
500,PL-552,6654641
500,PJ-552,925873
500,PM-551,4488337
500,PK-551,4690211
500,PN-551,285457
500,OZ-551,2364443
500,PL-551,12445432
500,PM-550,5581168
500,PK-550,5265450
500,PJ-550,175845
500,PL-550,23081487
500,PD-551,7907825
500,PE-550,21995476
500,PI-550,1181970
500,PG-550,16327168
500,PA-550,3794607
500,PC-550,16876459
500,PB-550,3524350
500,PF-550,25000000
500,PH-550,999109
500,OY-550,39210
500,OZ-550,9125473
500,PN-550,251357
500,PM-549,15177899
500,PK-549,5998404
500,PL-549,24402735
500,PN-549,10891528
500,PE-549,18724583
500,PI-549,4967935
500,PG-549,24212349
500,PA-549,1366515
500,PC-549,12924757
500,PH-549,17979835
500,PF-549,25000000
500,PJ-549,314572
500,PB-549,15328074
500,OZ-549,8929677
500,PM-548,25000000
500,PK-548,4084030
500,PL-548,20112409
500,PN-548,11229781
500,PI-548,12132721
500,PE-548,19566064
500,PA-548,2254684
500,PG-548,25000000
500,PC-548,9417809
500,PH-548,21184499
500,PF-548,25000000
500,PJ-548,7173474
500,PA-547,860866
500,PC-547,8892203
500,PI-547,8768938
500,PE-547,19833982
500,PG-547,25000000
500,PH-547,20768332
500,PJ-547,14529642
500,PF-547,25000000
500,PB-547,9855213
500,PM-547,23941604
500,PK-547,3210368
500,PL-547,22730239
500,PN-547,6290572
500,PC-546,11183389
500,PI-546,11702949
500,PG-546,25000000
500,PE-546,21372830
500,PA-546,7007493
500,PJ-546,8947182
500,PB-546,5068020
500,PH-546,25000000
500,PD-546,206602
500,PK-546,4330097
500,PM-546,25000000
500,PL-546,25000000
500,PN-546,1866120
500,PF-546,25000000
500,PA-545,9336035
500,PC-545,10778312
500,PE-545,23060261
500,PG-545,25000000
500,PI-545,24804467
500,PH-545,10370704
500,PD-545,1861839
500,PB-545,8195255
500,PF-545,25000000
500,PK-545,4295458
500,PM-545,20086149
500,PJ-545,2486782
500,PL-545,23497069
500,PM-544,11888386
500,PL-544,2086068
500,QL-545,1044143
500,QM-544,5721378
500,QL-544,4295488
500,QM-543,8146642
500,QL-543,3858970
500,QN-543,14484
500,QM-542,264602
500,QL-542,2843909
500,PI-544,1244260
500,PC-544,3135605
500,PA-544,3661804
500,PE-544,24862749
500,PG-544,12395456
500,PB-544,5129836
500,PD-544,4849014
500,PF-544,24872707
500,PE-543,19803941
500,PG-543,1005191
500,PD-543,7055347
500,PF-543,8524186
500,PE-542,478953
500,PD-542,7161272
500,PF-542,4551596
500,OZ-542,5261757
500,OZ-541,17015008
500,OY-540,354684
500,OW-540,193518
500,PA-541,10026348
500,PE-541,10206769
500,PD-541,15529893
500,PF-541,529
500,PA-540,1988853
500,PE-540,5621216
500,OU-540,6860453
500,OT-540,1499603
500,OV-540,5024591
500,OZ-540,20220266
500,OY-539,6783317
500,OW-539,11565656
500,OU-539,24707446
500,OX-539,2158386
500,OV-539,16330561
500,OZ-539,1807536
500,OT-539,2814202
500,OU-538,13805201
500,OW-538,2968872
500,OY-538,1564884
500,OT-538,2655376
500,OV-538,18550040
500,OX-538,5668518
500,OW-537,6912747
500,OU-537,15005641
500,OV-537,3928490
500,OU-536,32289
500,OW-536,597822
503,OY-567,1978034
503,PA-567,3280411
503,OV-567,910294
503,OZ-567,17370846
503,OX-567,12319385
503,OW-566,21067973
503,OU-566,2053526
503,PC-567,1397989
503,PD-567,11988105
503,PF-567,4468759
503,PB-567,16783317
503,PA-566,25000000
503,PG-566,13668736
503,OY-566,25000000
503,OV-566,24534580
503,OT-566,151153
503,OX-566,25000000
503,OY-565,25000000
503,OW-565,25000000
503,OU-565,24059320
503,PC-566,25000000
503,PE-566,22369665
503,PI-566,1948692
503,OZ-566,25000000
503,PD-566,25000000
503,PH-566,21632544
503,PB-566,25000000
503,PF-566,25000000
503,PE-565,25000000
503,PG-565,25000000
503,PJ-566,7547514
503,PK-565,12801932
503,PA-565,25000000
503,PI-565,25000000
503,PC-565,25000000
503,PB-565,25000000
503,PD-565,25000000
503,PH-565,25000000
503,PF-565,25000000
503,PI-564,25000000
503,PG-564,25000000
503,PE-564,25000000
503,OV-565,25000000
503,OT-565,16906925
503,OZ-565,25000000
503,OX-565,25000000
503,OS-564,3864879
503,OW-564,25000000
503,OY-564,25000000
503,OU-564,25000000
503,PJ-565,25000000
503,PL-565,16647007
503,PK-564,25000000
503,PM-564,18940164
503,PA-564,25000000
503,PC-564,25000000
503,PD-564,25000000
503,PH-564,25000000
503,PJ-564,25000000
503,PF-564,25000000
503,PB-564,25000000
503,PA-563,25000000
503,PG-563,25000000
503,PC-563,25000000
503,OT-564,25000000
503,OV-564,25000000
503,OX-564,25000000
503,OZ-564,25000000
503,OW-563,24999999
503,OY-563,25000000
503,OS-563,16703924
503,OU-563,25000000
503,PN-564,19465068
503,PL-564,25000000
503,PK-563,25000000
503,PM-563,25000000
503,PO-563,17899549
503,PN-563,25000000
503,PE-563,25000000
503,PI-563,25000000
503,PH-563,25000000
503,PF-563,25000000
503,PD-563,25000000
503,PB-563,25000000
503,PA-562,25000000
503,PC-562,25000000
503,PI-562,25000000
503,PG-562,25000000
503,OV-563,25000000
503,OX-563,25000000
503,OR-563,317364
503,OT-563,25000000
503,OZ-563,25000000
503,OU-562,25000000
503,OY-562,25000000
503,OW-562,25000000
503,OS-562,24783684
503,PJ-563,25000000
503,PL-563,25000000
503,PP-563,13751168
503,PO-562,25000000
503,PM-562,25000000
503,PQ-562,6397762
503,PK-562,25000000
503,PJ-562,25000000
503,PE-562,25000000
503,PF-562,25000000
503,PB-562,25000000
503,PH-562,25000000
503,PD-562,25000000
503,PC-561,25000000
503,PG-561,25000000
503,PI-561,25000000
503,PE-561,25000000
503,PA-561,25000000
503,OZ-562,25000000
503,OX-562,25000000
503,OT-562,25000000
503,OV-562,25000000
503,OR-562,6908748
503,OW-561,24999999
503,OS-561,25000000
503,OY-561,25000000
503,OU-561,25000000
503,OQ-559,74093
503,PL-562,25000000
503,PN-562,25000000
503,PP-562,25000000
503,PO-561,25000000
503,PQ-561,23775372
503,PM-561,25000000
503,PK-561,25000000
503,PL-561,25000000
503,PJ-561,25000000
503,PR-561,11489420
503,PP-561,25000000
503,PN-561,25000000
503,PK-560,25000000
503,PM-560,25000000
503,PQ-560,25000000
503,PO-560,25000000
503,PP-560,25000000
503,OV-561,25000000
503,OZ-561,25000000
503,OR-561,14049959
503,OT-561,25000000
503,OX-561,25000000
503,OS-560,25000000
503,OW-560,25000000
503,OY-560,25000000
503,OU-560,25000000
503,OT-560,25000000
503,PB-561,25000000
503,PD-561,25000000
503,PH-561,25000000
503,PF-561,25000000
503,PE-560,25000000
503,PA-560,25000000
503,PC-560,25000000
503,PI-560,25000000
503,PG-560,25000000
503,PF-560,25000000
503,PR-560,23758224
503,PN-560,25000000
503,PL-560,25000000
503,PK-559,25000000
503,PM-559,25000000
503,PS-559,7120724
503,PO-559,25000000
503,PQ-559,25000000
503,PN-559,25000000
503,PR-559,25000000
503,OR-560,19568912
503,OX-560,25000000
503,OV-560,25000000
503,OZ-560,25000000
503,OU-559,25000000
503,OW-559,25000000
503,OY-559,25000000
503,OS-559,25000000
503,OX-559,25000000
503,OT-559,25000000
503,PB-560,25000000
503,PD-560,25000000
503,PH-560,25000000
503,PJ-560,25000000
503,PA-559,25000000
503,PC-559,25000000
503,PE-559,25000000
503,PI-559,25000000
503,PG-559,25000000
503,PB-559,25000000
503,PP-559,25000000
503,PL-559,25000000
503,PM-558,25000000
503,PO-558,25000000
