species,pu,amount
500,IU-399,4808465
500,IW-399,5721247
500,IT-399,3549672
500,IV-399,23824480
500,IU-398,25000000
500,IS-398,52880
500,IW-398,25000000
500,JA-399,16649502
500,JC-399,25000000
500,IX-399,3428972
500,JD-399,25000000
500,JB-399,22087377
500,JC-398,24319399
500,IX-398,17071086
500,JB-398,1122302
500,JC-397,1138594
500,JD-397,614480
500,IX-397,20050804
500,IV-398,25000000
500,IT-398,23682459
500,IS-397,16459691
500,IU-397,25000000
500,IW-397,24999999
500,IR-397,742566
500,IT-397,25000000
500,IV-397,25000000
500,IU-396,25000000
500,IW-396,25000000
500,IS-396,24328985
500,IV-396,25000000
500,IR-396,543203
500,IT-396,25000000
500,IS-395,14910866
500,IW-395,24999999
500,IU-395,25000000
500,IY-396,25348
500,IX-396,18471655
500,JA-395,2057803
500,JB-395,8906139
500,IT-395,17155083
500,IV-395,19171574
500,IW-394,2890493
500,IU-394,4301521
500,JG-399,25000000
500,JE-399,25000000
500,JI-399,10726179
500,JH-399,25000000
500,JF-399,25000000
500,JI-398,15180030
500,JE-398,25000000
500,JG-398,25000000
500,JD-398,23744083
500,JH-398,25000000
500,JF-398,25000000
500,JG-397,25000000
500,JE-397,23029237
500,JI-397,7812014
500,JH-397,18135146
500,JF-397,21891897
500,JG-396,12303676
500,JE-396,250727
500,IZ-395,13700357
500,IX-395,2821096
500,JC-394,13245485
500,IY-394,18255033
500,JA-394,25000000
500,IX-394,12800065
500,JD-394,17850891
500,IZ-394,25000000
500,JB-394,25000000
500,JC-393,25000000
500,IW-393,6342844
500,IV-393,1038073
500,IK-392,3298765
500,IN-392,3657023
500,IL-392,14112138
500,IY-393,25000000
500,JA-393,25000000
500,JB-393,25000000
500,IX-393,25000000
500,IZ-393,25000000
500,JD-393,25000000
500,IY-392,25000000
500,JC-392,25000000
500,JA-392,25000000
500,IX-392,25000000
500,IW-392,24915851
500,IV-392,14272816
500,IW-391,25000000
500,IV-391,18380110
500,IZ-392,25000000
500,JB-392,25000000
500,IY-391,25000000
500,JA-391,25000000
500,JC-391,25000000
500,IX-391,25000000
500,JD-391,25000000
500,IZ-391,25000000
500,JB-391,25000000
500,IY-390,25000000
500,IM-391,23332779
500,IK-391,25000000
500,IO-391,5511879
500,IN-391,25000000
500,IP-391,1840302
500,IL-391,25000000
500,IK-390,25000000
500,IO-390,25000000
500,IM-390,25000000
500,IW-390,24999999
500,IU-390,2422014
500,IV-390,25000000
500,IR-390,2330025
500,IT-390,8076817
500,IW-389,25000000
500,IU-389,24476935
500,IS-389,22716981
500,JC-390,25000000
500,JA-390,25000000
500,JD-390,25000000
500,IX-390,25000000
500,JB-390,25000000
500,IZ-390,25000000
500,JC-389,25000000
500,IY-389,25000000
500,JA-389,25000000
500,IX-389,25000000
500,JF-394,1001090
500,JG-393,2909745
500,JE-393,22094065
500,JF-393,24771273
500,JE-392,25000000
500,JG-392,22853753
500,JD-392,25000000
500,JH-392,7000624
500,JF-392,25000000
500,JG-391,25000000
500,JE-391,25000000
500,JF-391,25000000
500,JH-391,16260955
