species,pu,amount
500,IK-320,2348035
500,IK-321,22123332
500,IK-322,25000000
500,IK-323,25000000
500,IK-324,25000000
500,IK-325,25000000
500,IK-326,25000000
500,IK-327,25000000
500,IK-328,25000000
500,IK-329,25000000
500,IK-330,25000000
500,IK-331,25000000
500,IK-332,25000000
500,IK-333,25000000
500,IK-334,25000000
500,IK-335,25000000
500,IK-336,25000000
500,IK-337,25000000
500,IK-338,25000000
500,IK-339,25000000
500,IK-340,25000000
500,IK-341,25000000
500,IK-342,25000000
500,IK-343,24893557
500,IK-344,5015914
500,IK-346,3455420
500,IK-347,24782430
500,IK-348,25000000
500,IK-349,25000000
500,IK-350,25000000
500,IK-351,25000000
500,IK-352,25000000
500,IK-353,25000000
500,IK-354,25000000
500,IK-355,25000000
500,IK-356,25000000
500,IK-357,25000000
500,IK-358,25000000
500,IK-359,25000000
500,IK-360,25000000
500,IK-361,25000000
500,IK-362,25000000
500,IK-363,25000000
500,IK-364,14887066
500,IK-365,3944748
500,IK-379,22069233
500,IK-380,25000000
500,IK-381,25000000
500,IK-382,25000000
500,IK-383,25000000
500,IK-384,25000000
500,IK-385,25000000
500,IK-386,25000000
500,IK-387,25000000
500,IK-388,25000000
500,IK-389,25000000
500,IK-390,25000000
500,IK-391,25000000
500,IK-392,3298765
500,IK-409,590553
500,IK-410,16144970
500,IK-411,20300137
500,IK-412,21046973
500,IK-413,25000000
500,IK-414,25000000
500,IK-415,25000000
500,IK-416,25000000
500,IK-417,10317479
500,IK-418,458885
500,IK-419,3031008
500,IK-420,1636449
500,IK-421,9994815
500,IK-422,25000000
500,IK-423,17531026
500,IK-424,25000000
500,IK-425,25000000
500,IK-426,25000000
500,IK-427,25000000
500,IK-428,25000000
504,IK-429,7364
500,IK-429,25000000
500,IK-430,25000000
500,IK-431,25000000
500,IL-320,6865036
500,IL-321,25000000
500,IL-322,25000000
500,IL-323,25000000
500,IL-324,25000000
500,IL-325,25000000
500,IL-326,25000000
500,IL-327,25000000
500,IL-328,25000000
500,IL-329,25000000
500,IL-330,25000000
500,IL-331,25000000
500,IL-332,25000000
500,IL-333,25000000
500,IL-334,25000000
500,IL-335,25000000
500,IL-336,25000000
500,IL-337,25000000
500,IL-338,25000000
500,IL-339,25000000
500,IL-340,25000000
500,IL-341,25000000
500,IL-342,25000000
500,IL-343,25000000
500,IL-344,7693084
500,IL-347,6465836
500,IL-348,25000000
500,IL-349,25000000
500,IL-350,25000000
500,IL-351,25000000
500,IL-352,25000000
500,IL-353,25000000
500,IL-354,25000000
500,IL-355,25000000
500,IL-356,25000000
500,IL-357,25000000
500,IL-358,25000000
500,IL-359,25000000
500,IL-360,25000000
500,IL-361,25000000
500,IL-362,25000000
500,IL-363,25000000
500,IL-364,20680173
500,IL-379,12978301
500,IL-380,25000000
