species,pu,amount
401,KD-381,2881230
401,KF-381,9747913
401,KG-381,3132495
401,KH-381,22908620
401,KI-381,20966928
401,KI-382,45677
401,KJ-381,5924057
401,KJ-382,4828398
215,LD-381,10895542
215,LD-382,2921257
215,LE-381,25000000
215,LE-382,15215116
215,LE-383,3979840
215,LF-381,24332634
215,LF-382,25000000
215,LF-383,24787261
215,LF-384,1164275
215,LG-381,2522841
215,LG-382,4601555
215,LG-383,535917
215,LK-381,69018
215,LL-381,12536728
215,LL-382,7860371
215,LM-381,25000000
215,LM-382,11261539
215,LN-381,25000000
215,LN-382,25000000
215,LN-383,5219927
215,LO-381,25000000
215,LO-382,16961464
215,LO-383,942238
215,LP-381,25000000
215,LP-382,25000000
215,LP-383,13048525
215,LQ-381,25000000
215,LQ-382,22829938
215,LQ-383,1751684
215,LR-381,25000000
215,LR-382,25000000
215,LR-383,7796684
215,LS-381,25000000
215,LS-382,19536778
215,LT-381,6254755
215,LT-382,6282785
215,LT-383,1439493
401,JX-368,1972575
401,JX-369,1112537
401,JX-370,497101
401,JX-371,126265
401,JX-372,32
401,JY-368,24329090
401,JY-369,23633893
401,JY-370,22694094
401,JY-371,21509694
401,JY-372,20144944
401,JY-373,18722462
401,JY-374,17179236
401,JY-375,6070369
401,JZ-368,25000000
401,JZ-369,25000000
401,JZ-370,25000000
401,JZ-371,25000000
401,JZ-372,25000000
401,JZ-373,25000000
401,JZ-374,25000000
401,JZ-375,25000000
401,JZ-376,19332018
401,JZ-377,3578124
401,KA-368,25000000
401,KA-369,25000000
401,KA-370,25000000
401,KA-371,25000000
401,KA-372,25000000
401,KA-373,25000000
401,KA-374,25000000
401,KA-375,25000000
401,KA-376,25000000
401,KA-377,16545595
401,KA-378,1432973
401,KB-368,25000000
401,KB-369,25000000
401,KB-370,25000000
401,KB-371,25000000
401,KB-372,25000000
401,KB-373,25000000
401,KB-374,25000000
401,KB-375,25000000
401,KB-376,25000000
401,KB-377,25000000
401,KB-378,25000000
401,KB-379,13412616
401,KC-368,25000000
401,KC-369,25000000
401,KC-370,25000000
401,KC-371,25000000
401,KC-372,25000000
401,KC-373,25000000
401,KC-374,25000000
401,KC-375,25000000
401,KC-376,25000000
401,KC-377,25000000
401,KC-378,25000000
401,KC-379,24608107
401,KC-380,8683892
401,KD-368,25000000
401,KD-369,25000000
401,KD-370,25000000
401,KD-371,25000000
401,KD-372,25000000
401,KD-373,25000000
401,KD-374,25000000
401,KD-375,25000000
401,KD-376,25000000
401,KD-377,25000000
401,KD-378,25000000
401,KD-379,25000000
401,KD-380,25000000
401,KE-368,25000000
401,KE-369,25000000
401,KE-370,25000000
401,KE-371,25000000
401,KE-372,25000000
401,KE-373,25000000
401,KE-374,25000000
401,KE-375,25000000
401,KE-376,25000000
401,KE-377,25000000
401,KE-378,25000000
401,KE-379,25000000
401,KE-380,18804239
401,KF-368,25000000
401,KF-369,25000000
401,KF-370,25000000
401,KF-371,25000000
401,KF-372,25000000
401,KF-373,25000000
401,KF-374,25000000
401,KF-375,25000000
401,KF-376,25000000
401,KF-377,25000000
401,KF-378,25000000
401,KF-379,25000000
401,KF-380,25000000
401,KG-368,25000000
401,KG-369,25000000
401,KG-370,25000000
401,KG-371,25000000
401,KG-372,25000000
401,KG-373,25000000
401,KG-374,25000000
401,KG-375,25000000
401,KG-376,25000000
401,KG-377,25000000
401,KG-378,25000000
401,KG-379,25000000
401,KG-380,25000000
401,KH-368,25000000
401,KH-369,25000000
401,KH-370,25000000
401,KH-371,25000000
401,KH-372,25000000
401,KH-373,25000000
401,KH-374,25000000
401,KH-375,25000000
401,KH-376,25000000
401,KH-377,25000000
